state,state_name,year,elec_price_cents_kwh,commercial_customers,gas_price_per_gallon,level2_ports,dcfast_ports,total_ports,chargers_per_100k,dcfast_share,charger_price_penalty,population,median_income,median_age,pct_drive_alone,pct_bachelors,pct_no_vehicle,ln_median_income,ln_population
IA,Iowa,2022,10.55,245328,4.162198391420912,918,522,1440,45.15754337946511,0.3625,4.280335865352143,3188836.0,70571.0,38.4,0.8569093577237908,0.1359053899291152,0.005868912669074233,11.164374574221812,14.975166517890237
ID,Idaho,2018,7.93,110797,3.2439678284182305,216,92,308,18.248510346846118,0.2987012987012987,2.3011992871180476,1687809.0,53089.0,36.1,0.8857260551776586,0.11769578192793143,0.004294324772530541,10.879725029461348,14.33894179607714
ID,Idaho,2019,7.67,112137,3.096514745308311,270,132,402,23.402707029544462,0.3283582089552239,3.0512003949862403,1717750.0,55785.0,36.4,0.8841787455064157,0.12061068257895503,0.004075098238975404,10.92926029502728,14.356525852893322
ID,Idaho,2020,7.75,114707,2.658176943699732,306,160,466,26.562287138323967,0.34334763948497854,3.4273918888159955,1754367.0,58915.0,36.6,0.871516485095828,0.12602380231730306,0.0046826006189126905,10.983851006147441,14.377618666059387
ID,Idaho,2021,7.89,117323,3.719839142091153,430,168,598,33.00918461242084,0.2809364548494983,4.183673588393009,1811617.0,63377.0,36.8,0.8592508078655368,0.1276533616100975,0.00487244268518125,11.05685629858094,14.409730374590138
ID,Idaho,2022,8.27,119688,4.636729222520108,498,182,680,36.67529794634512,0.2676470588235294,4.434739775857935,1854109.0,70214.0,36.9,0.839455342312048,0.1318002339668272,0.005029909244817861,11.159303000329775,14.432914815181277
IL,Illinois,2018,9.12,616192,2.911528150134048,3320,2030,5350,41.72679680071679,0.3794392523364486,4.575306666745263,12821497.0,63575.0,37.9,0.8103890111009799,0.14053218590621672,0.009414657274419673,11.059975590290321,16.36663377331046
IL,Illinois,2019,9.08,622802,2.774798927613941,3450,2030,5480,42.91095717979793,0.3704379562043796,4.725876341387438,12770631.0,65886.0,38.1,0.8082552485262838,0.14341014159754517,0.009345035495896796,11.095681254825768,16.36265863947394
IL,Illinois,2020,9.15,628868,2.2761394101876675,3450,2030,5480,43.09475719249925,0.3704379562043796,4.7098095292348905,12716164.0,68428.0,38.3,0.7932942372677828,0.1474509922961044,0.009462680726671974,11.133537376572182,16.358384498067128
IL,Illinois,2021,9.65,633019,3.215817694369973,3460,2030,5490,42.817657690063015,0.3697632058287796,4.437062973063525,12821813.0,72563.0,38.5,0.7763730342007064,0.14902393288687021,0.009454825148362404,11.19221042902805,16.366658419114767
